Xc,Yc,Xl,Yl,Xr,Yr
-45.067,-822.81,-45.651,-826.55,-44.589,-819.06
-45.211,-822.79,-45.777,-826.53,-44.739,-819.04
-45.354,-822.77,-45.909,-826.52,-44.882,-819.02
-45.498,-822.76,-46.043,-826.5,-45.023,-819
-45.643,-822.75,-46.178,-826.48,-45.164,-818.99
-45.788,-822.74,-46.313,-826.47,-45.305,-818.97
-45.933,-822.74,-46.448,-826.45,-45.446,-818.95
-46.075,-822.71,-46.583,-826.43,-45.586,-818.94
-46.217,-822.68,-46.718,-826.42,-45.726,-818.92
-46.359,-822.65,-46.853,-826.4,-45.865,-818.9
-46.497,-822.63,-46.989,-826.38,-46.005,-818.88
-46.635,-822.62,-47.124,-826.37,-46.144,-818.87
-46.773,-822.6,-47.26,-826.35,-46.284,-818.85
-46.91,-822.58,-47.396,-826.33,-46.424,-818.83
-47.048,-822.57,-47.533,-826.32,-46.563,-818.82
-47.186,-822.55,-47.669,-826.3,-46.703,-818.8
-47.323,-822.53,-47.805,-826.28,-46.842,-818.78
-47.461,-822.52,-47.941,-826.27,-46.981,-818.76
-47.599,-822.5,-48.077,-826.25,-47.12,-818.75
-47.736,-822.48,-48.213,-826.23,-47.259,-818.73
-47.874,-822.46,-48.35,-826.22,-47.397,-818.71
-48.012,-822.45,-48.486,-826.2,-47.536,-818.7
-48.149,-822.43,-48.623,-826.18,-47.675,-818.68
-48.287,-822.41,-48.76,-826.17,-47.814,-818.66
-48.425,-822.4,-48.897,-826.15,-47.953,-818.64
-48.562,-822.38,-49.034,-826.13,-48.092,-818.63
-48.7,-822.36,-49.171,-826.12,-48.23,-818.61
-48.838,-822.35,-49.307,-826.1,-48.368,-818.59
-48.975,-822.33,-49.444,-826.08,-48.506,-818.58
-49.113,-822.31,-49.581,-826.07,-48.645,-818.56
-49.251,-822.3,-49.718,-826.05,-48.783,-818.54
-49.388,-822.28,-49.855,-826.03,-48.921,-818.53
-49.526,-822.26,-49.992,-826.01,-49.06,-818.51
-49.664,-822.24,-50.13,-826,-49.198,-818.49
-49.801,-822.23,-50.267,-825.98,-49.337,-818.47
-49.939,-822.21,-50.404,-825.96,-49.475,-818.46
-50.077,-822.19,-50.541,-825.95,-49.613,-818.44
-50.214,-822.18,-50.678,-825.93,-49.75,-818.42
-50.352,-822.16,-50.815,-825.91,-49.888,-818.41
-50.49,-822.14,-50.952,-825.9,-50.026,-818.39
-50.627,-822.13,-51.09,-825.88,-50.164,-818.37
-50.765,-822.11,-51.228,-825.86,-50.302,-818.36
-50.903,-822.09,-51.365,-825.85,-50.441,-818.34
-51.04,-822.08,-51.503,-825.83,-50.579,-818.32
-51.178,-822.06,-51.64,-825.81,-50.717,-818.31
-51.316,-822.04,-51.778,-825.8,-50.854,-818.29
-51.453,-822.03,-51.915,-825.78,-50.992,-818.27
-51.591,-822.01,-52.052,-825.76,-51.13,-818.25
-51.729,-821.99,-52.189,-825.74,-51.267,-818.24
-51.866,-821.97,-52.327,-825.73,-51.405,-818.22
-52.004,-821.96,-52.465,-825.71,-51.543,-818.2
-52.142,-821.94,-52.603,-825.69,-51.681,-818.19
-52.279,-821.92,-52.74,-825.68,-51.819,-818.17
-52.417,-821.91,-52.878,-825.66,-51.957,-818.15
-52.555,-821.89,-53.015,-825.64,-52.095,-818.14
-52.692,-821.87,-53.153,-825.63,-52.232,-818.12
-52.83,-821.86,-53.29,-825.61,-52.37,-818.1
-52.968,-821.84,-53.427,-825.59,-52.507,-818.09
-53.105,-821.82,-53.565,-825.58,-52.645,-818.07
-53.243,-821.81,-53.703,-825.56,-52.783,-818.05
-53.381,-821.79,-53.841,-825.54,-52.921,-818.04
-53.518,-821.77,-53.979,-825.52,-53.059,-818.02
-53.656,-821.75,-54.116,-825.51,-53.196,-818
-53.794,-821.74,-54.254,-825.49,-53.334,-817.98
-53.931,-821.72,-54.391,-825.47,-53.471,-817.97
-54.069,-821.7,-54.529,-825.46,-53.609,-817.95
-54.206,-821.69,-54.666,-825.44,-53.746,-817.93
-54.344,-821.67,-54.804,-825.42,-53.884,-817.92
-54.482,-821.65,-54.942,-825.41,-54.021,-817.9
-54.619,-821.64,-55.08,-825.39,-54.159,-817.88
-54.757,-821.62,-55.217,-825.37,-54.297,-817.87
-54.895,-821.6,-55.355,-825.36,-54.435,-817.85
-55.032,-821.59,-55.493,-825.34,-54.572,-817.83
-55.17,-821.57,-55.63,-825.32,-54.71,-817.82
-55.308,-821.55,-55.768,-825.3,-54.847,-817.8
-55.445,-821.53,-55.905,-825.29,-54.984,-817.78
-55.583,-821.52,-56.043,-825.27,-55.122,-817.76
-55.721,-821.5,-56.181,-825.25,-55.26,-817.75
-55.858,-821.48,-56.319,-825.24,-55.398,-817.73
-55.996,-821.47,-56.457,-825.22,-55.535,-817.71
-56.133,-821.45,-56.595,-825.2,-55.673,-817.7
-56.271,-821.43,-56.732,-825.19,-55.811,-817.68
-56.409,-821.42,-56.87,-825.17,-55.948,-817.66
-56.546,-821.4,-57.007,-825.15,-56.085,-817.65
-56.684,-821.38,-57.145,-825.14,-56.223,-817.63
-56.822,-821.37,-57.282,-825.12,-56.36,-817.61
-56.959,-821.35,-57.42,-825.1,-56.498,-817.6
-57.097,-821.33,-57.558,-825.08,-56.636,-817.58
-57.235,-821.31,-57.696,-825.07,-56.774,-817.56
-57.372,-821.3,-57.834,-825.05,-56.911,-817.55
